Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.900753452,1.542028313,0,1.514060934,0,0.039128765,0.039128765,0.039128765,0.154019476,0.033179897,0.092942925,0.406034923,0.158803466
 01/01  02:00:00,0.718928357,1.767390128,0,1.741639539,0,0.044963292,0.044963292,0.044963292,0.089844728,0.019354937,0.07618578,0.37385121,0.09808441
 01/01  03:00:00,0.659531782,2.02950287,0,2.004050839,0,0.051603088,0.051603088,0.051603088,0.064174796,0.013824955,0.062326493,0.369516703,0.081441746
 01/01  04:00:00,0.651646738,2.070356883,0,2.045263121,0,0.052604006,0.052604006,0.052604006,0.064174796,0.013824955,0.053976431,0.364315295,0.086107255
 01/01  05:00:00,0.70009832,2.126775598,0,2.102629756,0,0.05394128,0.05394128,0.05394128,0.064174796,0.013824955,0.065822864,0.350553236,0.135137189
 01/01  06:00:00,0.965620566,2.096998303,0,2.070053484,0,0.053074302,0.053074302,0.053074302,0.064174796,0.013824955,0.080078181,0.391189237,0.346635095
 01/01  07:00:00,1.57928678,1.884925961,0,1.853793873,0,0.047493854,0.047493854,0.047493854,0.147602041,0.031797395,0.140383543,0.451980695,0.743385253
 01/01  08:00:00,2.014068799,2.016870003,0,1.983789827,0,0.050733091,0.050733091,0.050733091,0.301621517,0.064977292,0.228567291,0.480263352,0.856262256
 01/01  09:00:00,1.950547094,1.687118178,0,1.6591508,0,0.042434862,0.042434862,0.042434862,0.288786568,0.062212303,0.30112795,0.406034923,0.833306488
 01/01  10:00:00,1.707136614,1.703518102,0,1.679715601,0,0.043031389,0.043031389,0.043031389,0.147602041,0.031797395,0.375064554,0.345568553,0.747428682
 01/01  11:00:00,1.601176984,1.731380888,0,1.707018592,0,0.043886375,0.043886375,0.043886375,0.121932142,0.026267417,0.395792849,0.353695754,0.642958448
 01/01  12:00:00,1.513580212,1.308786497,0,1.284416737,0,0.033057892,0.033057892,0.033057892,0.121932142,0.026267417,0.413608485,0.353804116,0.548266159
 01/01  13:00:00,1.415434829,1.083104057,0,1.059144813,0,0.027340455,0.027340455,0.027340455,0.121932142,0.026267417,0.39965648,0.347844169,0.475750165
 01/01  14:00:00,1.339396266,0.886490791,0,0.861703051,0,0.022316469,0.022316469,0.022316469,0.121932142,0.026267417,0.361435816,0.359872426,0.430927996
 01/01  15:00:00,1.292058694,0.757599297,0,0.7314158,0,0.018994792,0.018994792,0.018994792,0.128349577,0.027649903,0.331767743,0.380136245,0.388516434
 01/01  16:00:00,1.364851025,0.74562924,0,0.717990275,0,0.018690041,0.018690041,0.018690041,0.160436991,0.034562383,0.339922589,0.401266965,0.393328056
 01/01  17:00:00,1.671096943,0.595502887,0,0.562810835,0,0.014671986,0.014671986,0.014671986,0.269534103,0.058064812,0.389638663,0.474628493,0.447914887
 01/01  18:00:00,2.259693801,0.842871523,0,0.803155905,0,0.020951772,0.020951772,0.020951772,0.500563357,0.107834641,0.480421868,0.576597765,0.556680399
 01/01  19:00:00,2.67912316,0.233936778,0,0.190817604,0,0.004949153,0.004949153,0.004949153,0.744427561,0.160369476,0.43259402,0.626011142,0.664127808
 01/01  20:00:00,2.663819831,0.241997211,0,0.197489744,0,0.005112043,0.005112043,0.005112043,0.789349925,0.170046944,0.349590651,0.646166599,0.68690967
 01/01  21:00:00,2.45900634,0.353200051,0,0.307162477,0,0.00795502,0.00795502,0.00795502,0.680252812,0.146544516,0.310730298,0.668380946,0.628498748
 01/01  22:00:00,2.222604576,0.607460444,0,0.562497677,0,0.014582498,0.014582498,0.014582498,0.5711557,0.123042104,0.29394914,0.652776722,0.550454412
 01/01  23:00:00,1.791700967,0.888326759,0,0.849417246,0,0.0220194,0.0220194,0.0220194,0.429971094,0.092627195,0.234174068,0.564894597,0.431370614
 01/01  24:00:00,1.34721014,1.213923292,0,1.180111649,0,0.03055302,0.03055302,0.03055302,0.295204003,0.063594789,0.151455627,0.490882893,0.298875807
 01/02  01:00:00,0.884039055,1.558394954,0,1.530427575,0,0.03955223,0.03955223,0.03955223,0.154019476,0.033179897,0.086369242,0.406034923,0.148239286
 01/02  02:00:00,0.709941929,1.78753097,0,1.761780381,0,0.045483583,0.045483583,0.045483583,0.089844728,0.019354937,0.072238755,0.37385121,0.092524716
 01/02  03:00:00,0.650667409,1.944655794,0,1.919203763,0,0.04942887,0.04942887,0.04942887,0.064174796,0.013824955,0.059715255,0.369516703,0.077362829
 01/02  04:00:00,0.644844116,2.030012647,0,2.004918885,0,0.051545545,0.051545545,0.051545545,0.064174796,0.013824955,0.052611026,0.364315295,0.081728498
 01/02  05:00:00,0.687745726,2.096703257,0,2.072557415,0,0.053214312,0.053214312,0.053214312,0.064174796,0.013824955,0.063151709,0.350553236,0.126182718
 01/02  06:00:00,0.935199626,2.073349561,0,2.046404742,0,0.05251065,0.05251065,0.05251065,0.064174796,0.013824955,0.075981488,0.391189237,0.3208745
 01/02  07:00:00,1.509249519,1.870785322,0,1.839653234,0,0.047160211,0.047160211,0.047160211,0.147602041,0.031797395,0.129758031,0.451980695,0.684307146
 01/02  08:00:00,1.920898004,2.012563779,0,1.979483603,0,0.050648708,0.050648708,0.050648708,0.301621517,0.064977292,0.207405929,0.480263352,0.784337206
 01/02  09:00:00,1.842177099,1.661373047,0,1.633405669,0,0.041770941,0.041770941,0.041770941,0.288786568,0.062212303,0.268690649,0.406034923,0.758037715
 01/02  10:00:00,1.594124795,1.757745658,0,1.733943158,0,0.044443159,0.044443159,0.044443159,0.147602041,0.031797395,0.330033496,0.345568553,0.678036151
 01/02  11:00:00,1.491455462,1.763029284,0,1.738666988,0,0.044694146,0.044694146,0.044694146,0.121932142,0.026267417,0.34487662,0.353695754,0.583345384
 01/02  12:00:00,1.404730973,1.04449407,0,1.02012431,0,0.026175711,0.026175711,0.026175711,0.121932142,0.026267417,0.361119726,0.353804116,0.49878786
 01/02  13:00:00,1.311069689,0.556973607,0,0.533014364,0,0.01369863,0.01369863,0.01369863,0.121932142,0.026267417,0.351845974,0.347844169,0.432837357
 01/02  14:00:00,1.242999147,0.285168786,0,0.260381046,0,0.006717651,0.006717651,0.006717651,0.121932142,0.026267417,0.317847783,0.359872426,0.393717728
 01/02  15:00:00,1.200574263,0.038765866,0,0.012582369,0,0.000325067,0.000325067,0.000325067,0.128349577,0.027649903,0.292642171,0.380136245,0.3548273
 01/02  16:00:00,1.275290768,0.027638965,0,0,0,0,0,0,0.160436991,0.034562383,0.302863616,0.401266965,0.359516813
 01/02  17:00:00,1.578855715,0.032692052,0,0,0,0,0,0,0.269534103,0.058064812,0.353720743,0.474628493,0.406263564
 01/02  18:00:00,2.153518815,0.039715618,0,0,0,0,0,0,0.500563357,0.107834641,0.445069937,0.576597765,0.506809115
 01/02  19:00:00,2.575069895,0.043119174,0,0,0,0,0,0,0.744427561,0.160369476,0.398283704,0.626011142,0.599334011
 01/02  20:00:00,2.551987404,0.044507467,0,0,0,0,0,0,0.789349925,0.170046944,0.315345897,0.646166599,0.614434039
 01/02  21:00:00,2.347379736,0.046037574,0,0,0,0,0,0,0.680252812,0.146544516,0.275874928,0.668380946,0.559682534
 01/02  22:00:00,2.114781669,0.044962767,0,0,0,0,0,0,0.5711557,0.123042104,0.258342283,0.652776722,0.49282086
 01/02  23:00:00,1.701517486,0.24432522,0,0.205415708,0,0.005317976,0.005317976,0.005317976,0.429971094,0.092627195,0.205880856,0.564894597,0.386181769
 01/02  24:00:00,1.29050133,0.706784512,0,0.67297287,0,0.017477152,0.017477152,0.017477152,0.295204003,0.063594789,0.135920782,0.490882893,0.270777711
 01/03  01:00:00,0.876767196,1.262764925,0,1.234797547,0,0.032056093,0.032056093,0.032056093,0.154019476,0.033179897,0.086369242,0.406034923,0.148463565
 01/03  02:00:00,0.705000591,1.584217477,0,1.558466889,0,0.040430107,0.040430107,0.040430107,0.089844728,0.019354937,0.072238755,0.37385121,0.092636854
 01/03  03:00:00,0.647050586,1.798170254,0,1.772718223,0,0.045732991,0.045732991,0.045732991,0.064174796,0.013824955,0.059715255,0.369516703,0.077441885
 01/03  04:00:00,0.642434891,1.933097536,0,1.908003774,0,0.04904807,0.04904807,0.04904807,0.064174796,0.013824955,0.052611026,0.364315295,0.081816748
 01/03  05:00:00,0.685870699,2.017735724,0,1.993589882,0,0.051159293,0.051159293,0.051159293,0.064174796,0.013824955,0.063151709,0.350553236,0.12636271
 01/03  06:00:00,0.931898906,1.925212429,0,1.89826761,0,0.048641075,0.048641075,0.048641075,0.064174796,0.013824955,0.075981488,0.391189237,0.321443354
 01/03  07:00:00,1.512432213,1.945147948,0,1.914015859,0,0.049043715,0.049043715,0.049043715,0.147602041,0.031797395,0.129758031,0.451980695,0.685606337
 01/03  08:00:00,1.908547815,1.470707233,0,1.437627057,0,0.036781093,0.036781093,0.036781093,0.301621517,0.064977292,0.207405929,0.480263352,0.785854632
 01/03  09:00:00,1.838302165,1.450213295,0,1.422245916,0,0.036419181,0.036419181,0.036419181,0.288786568,0.062212303,0.268690649,0.406034923,0.759514541
 01/03  10:00:00,1.587090088,1.427843879,0,1.404041378,0,0.036082126,0.036082126,0.036082126,0.147602041,0.031797395,0.330033496,0.345568553,0.679362477
 01/03  11:00:00,1.487530074,1.561357872,0,1.536995576,0,0.03962994,0.03962994,0.03962994,0.121932142,0.026267417,0.34487662,0.353695754,0.584484202
 01/03  12:00:00,1.40669516,1.078374951,0,1.054005191,0,0.027174751,0.027174751,0.027174751,0.121932142,0.026267417,0.361119726,0.353804116,0.499753009
 01/03  13:00:00,1.314756516,0.66532155,0,0.641362306,0,0.016555864,0.016555864,0.016555864,0.121932142,0.026267417,0.351845974,0.347844169,0.43366695
 01/03  14:00:00,1.242526764,0.237664694,0,0.212876953,0,0.005501623,0.005501623,0.005501623,0.121932142,0.026267417,0.317847783,0.359872426,0.394461373
 01/03  15:00:00,1.200862539,0.026183497,0,0,0,0,0,0,0.128349577,0.027649903,0.292642171,0.380136245,0.355440643
 01/03  16:00:00,1.276015027,0.027638965,0,0,0,0,0,0,0.160436991,0.034562383,0.302863616,0.401266965,0.360241072
 01/03  17:00:00,1.579708081,0.032692052,0,0,0,0,0,0,0.269534103,0.058064812,0.353720743,0.474628493,0.40711593
 01/03  18:00:00,2.154282206,0.039715618,0,0,0,0,0,0,0.500563357,0.107834641,0.445069937,0.576597765,0.507572506
 01/03  19:00:00,2.575925686,0.043119174,0,0,0,0,0,0,0.744427561,0.160369476,0.398283704,0.626011142,0.600189802
